0, 180, 180
1, 80, 10
2, 270, 120
3, 115, 263
1, 81, 12
2, 267, 118
3, 116, 261
1, 82, 14
2, 264, 116
3, 117, 259
1, 83, 16
2, 261, 114
3, 118, 257
1, 84, 18
2, 258, 112
3, 119, 255
1, 85, 20
2, 255, 110
3, 120, 253
1, 86, 22
2, 252, 108
3, 121, 251
1, 87, 24
2, 249, 106
3, 122, 249
1, 88, 26
2, 246, 104
3, 123, 247
1, 89, 28
2, 243, 102
3, 124, 245
1, 90, 30
2, 240, 100
3, 125, 243
1, 91, 32
2, 237, 98
3, 126, 241
1, 92, 34
2, 234, 96
3, 127, 239
1, 93, 36
2, 231, 94
3, 128, 237
1, 94, 38
2, 228, 92
3, 129, 235
1, 95, 40
2, 225, 90
3, 130, 233
1, 96, 42
2, 222, 88
3, 131, 231
1, 97, 44
2, 219, 86
3, 132, 229
1, 98, 46
2, 216, 84
3, 133, 227
1, 99, 48
2, 213, 82
3, 134, 225
1, 100, 50
2, 210, 80
3, 135, 223
1, 101, 52
2, 207, 78
3, 136, 221
1, 102, 54
2, 204, 76
3, 137, 219
1, 103, 56
2, 201, 74
3, 138, 217
1, 104, 58
2, 198, 72
3, 139, 215
1, 105, 60
2, 195, 70
3, 140, 213
1, 106, 62
2, 192, 68
3, 141, 211
1, 107, 64
2, 189, 66
3, 142, 209
1, 108, 66
2, 186, 64
3, 143, 207
1, 109, 68
2, 183, 62
3, 144, 205
1, 110, 70
2, 180, 60
3, 145, 203
1, 111, 72
2, 177, 58
3, 146, 201
1, 112, 74
2, 174, 56
3, 147, 199
1, 113, 76
2, 171, 54
3, 148, 197
1, 114, 78
2, 168, 52
3, 149, 195
1, 115, 80
2, 165, 50
3, 150, 193
1, 116, 82
2, 162, 48
3, 151, 191
1, 117, 84
2, 159, 46
3, 152, 189
1, 118, 86
2, 156, 44
3, 153, 187
1, 119, 88
2, 153, 42
3, 154, 185
1, 120, 90
2, 150, 40
3, 155, 183
1, 121, 92
2, 147, 38
3, 156, 181
1, 122, 94
2, 144, 36
3, 157, 179
1, 123, 96
2, 141, 34
3, 158, 177
1, 124, 98
2, 138, 32
3, 159, 175
1, 125, 100
2, 135, 30
3, 160, 173
1, 126, 102
2, 132, 28
3, 161, 171
1, 127, 104
2, 129, 26
3, 162, 169
1, 128, 106
2, 126, 24
3, 163, 167
1, 129, 108
2, 123, 22
3, 164, 165
1, 130, 110
2, 120, 20
3, 165, 163
1, 131, 112
2, 117, 18
3, 166, 161
1, 132, 114
2, 114, 16
3, 167, 159
1, 133, 116
2, 111, 14
3, 168, 157
1, 134, 118
2, 108, 12
3, 169, 155
1, 135, 120
2, 105, 10
3, 170, 153
1, 136, 122
2, 102, 8
3, 171, 151
1, 137, 124
2, 99, 6
3, 172, 149
1, 138, 126
2, 96, 4
3, 173, 147
1, 139, 128
2, 93, 2
3, 174, 145
1, 140, 130
2, 90, 0
3, 175, 143
1, 141, 132
2, 87, -2
3, 176, 141
1, 142, 134
2, 84, 356
3, 177, 139
1, 143, 136
2, 81, 354
3, 178, 137
1, 144, 138
2, 78, 352
3, 179, 135
1, 145, 140
2, 75, 350
3, 180, 133
1, 146, 142
2, 72, 348
3, 181, 131
1, 147, 144
2, 69, 346
3, 182, 129
1, 148, 146
2, 66, 344
3, 183, 127
1, 149, 148
2, 63, 342
3, 184, 125
1, 150, 150
2, 60, 340
3, 185, 123
1, 151, 152
2, 57, 338
3, 186, 121
1, 152, 154
2, 54, 336
3, 187, 119
1, 153, 156
2, 51, 334
3, 188, 117
1, 154, 158
2, 48, 332
3, 189, 115
1, 155, 160
2, 45, 330
3, 190, 113
1, 156, 162
2, 42, 328
3, 191, 111
1, 157, 164
2, 39, 326
3, 192, 109
1, 158, 166
2, 36, 324
3, 193, 107
1, 159, 168
2, 33, 322
3, 194, 105
1, 160, 170
2, 30, 320
3, 195, 103
1, 161, 172
2, 27, 318
3, 196, 101
1, 162, 174
2, 24, 316
3, 197, 99
1, 163, 176
2, 21, 314
3, 198, 97
1, 164, 178
2, 18, 312
3, 199, 95
1, 165, 180
2, 15, 310
3, 200, 93
1, 166, 182
2, 12, 308
3, 201, 91
1, 167, 184
2, 9, 306
3, 202, 89
1, 168, 186
2, 6, 304
3, 203, 87
1, 169, 188
2, 3, 302
3, 204, 85
1, 170, 190
2, 0, 300
3, 205, 83
1, 171, 192
2, 357, 298
3, 206, 81
1, 172, 194
2, 354, 296
3, 207, 79
1, 173, 196
2, 351, 294
3, 208, 77
1, 174, 198
2, 348, 292
3, 209, 75
1, 175, 200
2, 345, 290
3, 210, 73
1, 176, 202
2, 342, 288
3, 211, 71
1, 177, 204
2, 339, 286
3, 212, 69
1, 178, 206
2, 336, 284
3, 213, 67
1, 179, 208
2, 333, 282
3, 214, 65
1, 180, 210
2, 330, 280
3, 215, 63
1, 181, 212
2, 327, 278
3, 216, 61
1, 182, 214
2, 324, 276
3, 217, 59
1, 183, 216
2, 321, 274
3, 218, 57
1, 184, 218
2, 318, 272
3, 219, 55
1, 185, 220
2, 315, 270
3, 220, 53
1, 186, 222
2, 312, 268
3, 221, 51
1, 187, 224
2, 309, 266
3, 222, 49
1, 188, 226
2, 306, 264
3, 223, 47
1, 189, 228
2, 303, 262
3, 224, 45
1, 190, 230
2, 300, 260
3, 225, 43
1, 191, 232
2, 297, 258
3, 226, 41
1, 192, 234
2, 294, 256
3, 227, 39
1, 193, 236
2, 291, 254
3, 228, 37
1, 194, 238
2, 288, 252
3, 229, 35
1, 195, 240
2, 285, 250
3, 230, 33
1, 196, 242
2, 282, 248
3, 231, 31
1, 197, 244
2, 279, 246
3, 232, 29
1, 198, 246
2, 276, 244
3, 233, 27
1, 199, 248
2, 273, 242
3, 234, 25
1, 200, 250
2, 270, 240
3, 235, 23
1, 201, 252
2, 267, 238
3, 236, 21
1, 202, 254
2, 264, 236
3, 237, 19
1, 203, 256
2, 261, 234
3, 238, 17
1, 204, 258
2, 258, 232
3, 239, 15
1, 205, 260
2, 255, 230
3, 240, 13
1, 206, 262
2, 252, 228
3, 241, 11
1, 207, 264
2, 249, 226
3, 242, 9
1, 208, 266
2, 246, 224
3, 243, 7
1, 209, 268
2, 243, 222
3, 244, 5
1, 210, 270
2, 240, 220
3, 245, 3
1, 211, 272
2, 237, 218
3, 246, 1
1, 212, 274
2, 234, 216
3, 247, -1
1, 213, 276
2, 231, 214
3, 248, 357
1, 214, 278
2, 228, 212
3, 249, 355
1, 215, 280
2, 225, 210
3, 250, 353
1, 216, 282
2, 222, 208
3, 251, 351
1, 217, 284
2, 219, 206
3, 252, 349
1, 218, 286
2, 216, 204
3, 253, 347
1, 219, 288
2, 213, 202
3, 254, 345
1, 220, 290
2, 210, 200
3, 255, 343
1, 221, 292
2, 207, 198
3, 256, 341
1, 222, 294
2, 204, 196
3, 257, 339
1, 223, 296
2, 201, 194
3, 258, 337
1, 224, 298
2, 198, 192
3, 259, 335
1, 225, 300
2, 195, 190
3, 260, 333
1, 226, 302
2, 192, 188
3, 261, 331
1, 227, 304
2, 189, 186
3, 262, 329
1, 228, 306
2, 186, 184
3, 263, 327
1, 229, 308
2, 183, 182
3, 264, 325
1, 230, 310
2, 180, 180
3, 265, 323
1, 231, 312
2, 177, 178
3, 266, 321
1, 232, 314
2, 174, 176
3, 267, 319
1, 233, 316
2, 171, 174
3, 268, 317
1, 234, 318
2, 168, 172
3, 269, 315
1, 235, 320
2, 165, 170
3, 270, 313
1, 236, 322
2, 162, 168
3, 271, 311
1, 237, 324
2, 159, 166
3, 272, 309
1, 238, 326
2, 156, 164
3, 273, 307
1, 239, 328
2, 153, 162
3, 274, 305
1, 240, 330
2, 150, 160
3, 275, 303
1, 241, 332
2, 147, 158
3, 276, 301
1, 242, 334
2, 144, 156
3, 277, 299
1, 243, 336
2, 141, 154
3, 278, 297
1, 244, 338
2, 138, 152
3, 279, 295
1, 245, 340
2, 135, 150
3, 280, 293
1, 246, 342
2, 132, 148
3, 281, 291
1, 247, 344
